class,score,weight
ARI,0.5625,Human Satisfaction
ARI,1.0,Human Satisfaction
ARI,0.6666666666666666,Human Satisfaction
ARI,0.25,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,0.3125,Human Satisfaction
ARI,0.3333333333333333,Human Satisfaction
ARI,0.375,Human Satisfaction
ARI,1.0,Human Satisfaction
ARI,0.9375,Human Satisfaction
Shen-F,0.98125,Measures
Shen-F,0.9571428571428571,Measures
Shen-F,1.0,Measures
Shen-F,0.8317260081965965,Measures
Shen-F,0.6800505152646883,Measures
Shen-F,0.7777777777777778,Measures
Shen-F,0.8766666666666667,Measures
Shen-F,0.8733333333333334,Measures
Shen-F,0.9022988505747126,Measures
Shen-F,0.8874458874458874,Measures
Shen-F,0.729047619047619,Measures
Shen-F,0.7321428571428572,Measures
Shen-F,0.9719298245614034,Measures
Shen-F,0.7353030303030302,Measures
Shen-F,1.0,Measures
Shen-F,1.0,Measures
Shen-F,0.975,Measures
Shen-F,0.9449229691876752,Measures
Shen-F,0.8776923076923078,Measures
Shen-F,0.8657894736842106,Measures
Shen-F,0.8066815035999331,Measures
Shen-F,1.0,Measures
Shen-F,0.7708333333333334,Measures
Shen-F,0.8067747239840264,Measures
Shen-F,0.5,Human Satisfaction
Shen-F,0.625,Human Satisfaction
Shen-F,0.3125,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.75,Human Satisfaction
Shen-F,0.625,Human Satisfaction
Shen-F,0.5625,Human Satisfaction
Shen-F,0.5625,Human Satisfaction
Shen-F,0.375,Human Satisfaction
Shen-F,0.5,Human Satisfaction
Shen-F,0.4375,Human Satisfaction
Shen-F,0.8125,Human Satisfaction
Shen-F,0.8125,Human Satisfaction
Shen-F,0.3125,Human Satisfaction
Shen-F,0.5625,Human Satisfaction
Shen-F,1.0,Human Satisfaction
Shen-F,0.6666666666666666,Human Satisfaction
Shen-F,0.25,Human Satisfaction
Shen-F,0.375,Human Satisfaction
Shen-F,0.3125,Human Satisfaction
Shen-F,0.3333333333333333,Human Satisfaction
Shen-F,0.375,Human Satisfaction
Shen-F,1.0,Human Satisfaction
Shen-F,0.9375,Human Satisfaction
F1,0.0,Measures
F1,0.0,Measures
F1,0.0,Measures
F1,0.3333333333333333,Measures
F1,0.0,Measures
F1,0.0,Measures
F1,0.8571428571428571,Measures
F1,0.6666666666666666,Measures
F1,0.75,Measures
F1,0.8571428571428571,Measures
F1,0.8571428571428571,Measures
F1,0.8571428571428571,Measures
F1,1.0,Measures
F1,0.75,Measures
F1,0.8571428571428571,Measures
F1,0.4,Measures
F1,1.0,Measures
F1,0.75,Measures
F1,0.0,Measures
F1,0.0,Measures
F1,0.0,Measures
F1,0.375,Measures
F1,0.6666666666666666,Measures
F1,0.3125,Human Satisfaction
F1,0.5,Human Satisfaction
F1,0.25,Human Satisfaction
F1,0.3125,Human Satisfaction
F1,0.375,Human Satisfaction
F1,0.125,Human Satisfaction
F1,0.8125,Human Satisfaction
F1,0.5,Human Satisfaction
F1,0.5625,Human Satisfaction
F1,0.9375,Human Satisfaction
F1,0.9375,Human Satisfaction
F1,0.75,Human Satisfaction
F1,1.0,Human Satisfaction
F1,0.875,Human Satisfaction
F1,0.75,Human Satisfaction
F1,0.4375,Human Satisfaction
F1,1.0,Human Satisfaction
F1,0.9375,Human Satisfaction
F1,0.3125,Human Satisfaction
F1,0.375,Human Satisfaction
F1,0.375,Human Satisfaction
F1,0.375,Human Satisfaction
F1,0.6875,Human Satisfaction
DLD,0.2914782038004976,Measures
DLD,0.3420810009046008,Measures
DLD,0.23303395301353919,Measures
DLD,0.2744952003791449,Measures
DLD,0.3741758439100036,Measures
DLD,0.19143750380554841,Measures
DLD,0.8147836755128706,Measures
DLD,0.6952574126822433,Measures
DLD,0.5392760267657826,Measures
DLD,0.8607065205655609,Measures
DLD,0.8791006895018955,Measures
DLD,0.7560606060608616,Measures
DLD,1.0,Measures
DLD,0.7940398538988941,Measures
DLD,0.8657673561685622,Measures
DLD,0.5196467179388856,Measures
DLD,1.0,Measures
DLD,0.8318222150666231,Measures
DLD,0.3636843835279199,Measures
DLD,0.3944878561766468,Measures
DLD,0.3493964858670741,Measures
DLD,0.2286978914022883,Measures
DLD,0.6513221370513321,Measures
DLD,0.3125,Human Satisfaction
DLD,0.5,Human Satisfaction
DLD,0.25,Human Satisfaction
DLD,0.3125,Human Satisfaction
DLD,0.375,Human Satisfaction
DLD,0.125,Human Satisfaction
DLD,0.8125,Human Satisfaction
DLD,0.5,Human Satisfaction
DLD,0.5625,Human Satisfaction
DLD,0.9375,Human Satisfaction
DLD,0.9375,Human Satisfaction
DLD,0.75,Human Satisfaction
DLD,1.0,Human Satisfaction
DLD,0.875,Human Satisfaction
DLD,0.75,Human Satisfaction
DLD,0.4375,Human Satisfaction
DLD,1.0,Human Satisfaction
DLD,0.9375,Human Satisfaction
DLD,0.3125,Human Satisfaction
DLD,0.375,Human Satisfaction
DLD,0.375,Human Satisfaction
