project,differences,metrics
angular,0.10104116311177502,DLD
angular,0.07073287337383316,DLD
angular,0.15371787018727529,DLD
angular,0.07804133256986934,DLD
angular,0.009794063794907437,DLD
angular,0.14291781013803284,DLD
angular,0.11131341624271385,DLD
angular,0.15843613407419643,DLD
angular,0.0,DLD
angular,0.01111194618220357,DLD
angular,0.0932195976681357,DLD
angular,0.023799059441535708,DLD
angular,0.05653796032554492,DLD
angular,0.02076191038866293,DLD
angular,0.1181816352726226,DLD
angular,0.01429347943443915,DLD
angular,0.035179699604826364,DLD
angular,0.0,DLD
angular,0.03294616872855083,DLD
angular,0.0,DLD
angular,0.0762669635508344,DLD
angular,0.021539853898894123,DLD
angular,0.026388888888888906,DLD
angular,0.03798643825845244,DLD
angular,0.016000005626758074,DLD
Appium,0.4512246886103929,NMI
Appium,0.3252024297488686,NMI
Appium,0.6875,NMI
Appium,0.31129739273866,NMI
Appium,0.19811371182949833,NMI
Appium,0.22270411578631422,NMI
Appium,0.3128901989550774,NMI
Appium,0.3234292619686323,NMI
Appium,0.42865614616347403,NMI
Appium,0.33179409515373826,NMI
Appium,0.30253560646126587,NMI
Appium,0.0919283225592259,NMI
Appium,0.12917018724330542,NMI
Appium,0.34482099643960273,NMI
Appium,0.4375,NMI
Appium,0.0,NMI
Appium,0.28415480553165917,NMI
Appium,0.5540233320463274,NMI
Appium,0.5030880368394124,NMI
Appium,0.5252220336738537,NMI
Appium,0.4299699683568556,NMI
Appium,0.625,NMI
Appium,0.24457793742805534,NMI
Appium,0.23267989143755852,NMI
Appium,0.49017432646592707,ARI
Appium,0.313137321549966,ARI
Appium,0.6875,ARI
Appium,0.10616890257312517,ARI
Appium,0.4744271302641999,ARI
Appium,0.050120772946859904,ARI
Appium,0.2232142857142857,ARI
Appium,0.22150000000000003,ARI
Appium,0.28334359064533143,ARI
Appium,0.13824289405684753,ARI
Appium,0.10210396039603964,ARI
Appium,0.6875,ARI
Appium,0.07638888888888884,ARI
Appium,0.13779661817494804,ARI
Appium,0.4375,ARI
Appium,0.0,ARI
Appium,0.3044450928897967,ARI
Appium,0.5019882401718744,ARI
Appium,0.36141259996735764,ARI
Appium,0.42030231716147715,ARI
Appium,0.3463044951969558,ARI
Appium,0.625,ARI
Appium,0.5502555366269166,ARI
Appium,0.36906557637345194,ARI
Appium,0.48124999999999996,Shen-F
Appium,0.3321428571428571,Shen-F
Appium,0.6875,Shen-F
Appium,0.3317260081965965,Shen-F
Appium,0.0699494847353117,Shen-F
Appium,0.1527777777777778,Shen-F
Appium,0.3141666666666667,Shen-F
Appium,0.3108333333333334,Shen-F
Appium,0.5272988505747126,Shen-F
Appium,0.38744588744588737,Shen-F
Appium,0.29154761904761906,Shen-F
Appium,0.0803571428571428,Shen-F
Appium,0.15942982456140342,Shen-F
Appium,0.42280303030303024,Shen-F
Appium,0.4375,Shen-F
Appium,0.0,Shen-F
Appium,0.30833333333333335,Shen-F
Appium,0.6949229691876752,Shen-F
Appium,0.5026923076923078,Shen-F
Appium,0.5532894736842106,Shen-F
Appium,0.47334817026659975,Shen-F
Appium,0.625,Shen-F
Appium,0.22916666666666663,Shen-F
Appium,0.1307252760159736,Shen-F
Appium,0.3125,F1
Appium,0.5,F1
Appium,0.25,F1
Appium,0.020833333333333315,F1
Appium,0.375,F1
Appium,0.125,F1
Appium,0.044642857142857095,F1
